nom,nombreEnfants,statut,categorie,userEmail
Sol,21,CONSTRUCTION,LONG_METRAGE,
Amour-Eux,16,CONSTRUCTION,LONG_METRAGE,
L'Autre,26,CONSTRUCTION,COURT_METRAGE,
La Sincérité,15,CONSTRUCTION,LONG_METRAGE,
Un vrai bonhomme,29,PRET,TELEFILM,Sixtine_Juliano@drieets.gouv.fr
La Bonne Épouse,22,CONSTRUCTION,FILM_INSTITUTIONNEL,Sixtine_Juliano@drieets.gouv.fr
Je ne rêve que de vous,4,CONSTRUCTION,LONG_METRAGE,Sixtine_Juliano@drieets.gouv.fr
Douze mille,26,CONSTRUCTION,LONG_METRAGE,lise.Laine@drieets.gouv.fr
Forte,12,PRET,LONG_METRAGE,Victorin43@drieets.gouv.fr
Une belle équipe,14,CONSTRUCTION,MUSIQUE_STUDIO,lise.Laine@drieets.gouv.fr
La Daronne,28,CONSTRUCTION,LONG_METRAGE,
Divorce Club,17,CONSTRUCTION,LONG_METRAGE,
Fille du vent,16,CONSTRUCTION,LONG_METRAGE,
Qu'un sang impur...,26,CONSTRUCTION,THEATRE,
Le Réseau Shelburn,10,CONSTRUCTION,LONG_METRAGE,
K contraire,19,CONSTRUCTION,LONG_METRAGE,
Mignonnes,21,CONSTRUCTION,LONG_METRAGE,
L'Esprit de famille,13,CONSTRUCTION,CLIP,
Le Lion,5,CONSTRUCTION,LONG_METRAGE,
Les Mélancolies de Sade,8,PRET,LONG_METRAGE,
Revenir,6,CONSTRUCTION,LONG_METRAGE,
Petit Pays,9,CONSTRUCTION,LONG_METRAGE,
Ducobu 3,30,CONSTRUCTION,LONG_METRAGE,
Le Prince oublié,10,CONSTRUCTION,OPERA,
10 jours sans maman,26,CONSTRUCTION,LONG_METRAGE,
Police,20,CONSTRUCTION,LONG_METRAGE,
"Cyrille, agriculteur, 30 ans, 20 vaches, du lait, du beurre, des dettes",11,CONSTRUCTION,LONG_METRAGE,
Mes jours de gloire,11,INSTRUCTION,CIRQUE,
Mine de rien,10,INSTRUCTION,LONG_METRAGE,
De Gaulle,19,PRET,RADIO,
Papi Sitter,29,INSTRUCTION,RADIO,
Une sirène à Paris,17,INSTRUCTION,LONG_METRAGE,
Adieu les cons,26,INSTRUCTION,PHOTO,
Brutus vs César,26,INSTRUCTION,LONG_METRAGE,
Les Parfums,17,CONSTRUCTION,LONG_METRAGE,
Été 85,29,INSTRUCTION,LONG_METRAGE,
Yakari,7,INSTRUCTION,LONG_METRAGE,
Voir le jour,6,INSTRUCTION,FILM_INSTITUTIONNEL,
30 Jours max,13,INSTRUCTION,LONG_METRAGE,
Énorme,18,INSTRUCTION,JEU_VIDEO,
"Les Choses qu'on dit, les choses qu'on fait",29,INSTRUCTION,JEU_VIDEO,
Messe basse,18,INSTRUCTION,LONG_METRAGE,
Antoinette dans les Cévennes,4,INSTRUCTION,AUTRE,
Un pays qui se tient sage,22,INSTRUCTION,LONG_METRAGE,
Mon cousin,2,CONSTRUCTION,LONG_METRAGE,
Petit Vampire,23,INSTRUCTION,LONG_METRAGE,
Garçon chiffon,12,CONSTRUCTION,AUTRE,
Qui a tué Lady Winsley ? (en turc),11,CONSTRUCTION,LONG_METRAGE,
Un beau voyou,10,CONSTRUCTION,LONG_METRAGE,
Edmond,27,CONSTRUCTION,LONG_METRAGE,
Ombres et Lumières,1,CONSTRUCTION,LONG_METRAGE,
Holy Lands (en anglais),8,CONSTRUCTION,LONG_METRAGE,
Le Musée des au revoir,15,CONSTRUCTION,LONG_METRAGE,
Une jeunesse dorée,4,CONSTRUCTION,LONG_METRAGE,
Ma vie avec James Dean,9,CONSTRUCTION,DOUBLAGE,
L'Ordre des médecins,18,CONSTRUCTION,LONG_METRAGE,
Les Petits Flocons,18,CONSTRUCTION,LONG_METRAGE,
Un berger et deux perchés à l'Élysée ?,26,CONSTRUCTION,LONG_METRAGE,
Yao,26,CONSTRUCTION,LONG_METRAGE,
À cause des filles..?,16,CONSTRUCTION,LONG_METRAGE,
L'Amour debout,10,INSTRUCTION,LONG_METRAGE,
Les Éléphants perdus,17,CONSTRUCTION,THEATRE,
Les Estivants,24,CONSTRUCTION,LONG_METRAGE,
L'Intervention,7,CONSTRUCTION,LONG_METRAGE,
Minuscule 2,14,CONSTRUCTION,LONG_METRAGE,
Pearl,23,CONSTRUCTION,LONG_METRAGE,
Qu'est-ce qu'on a encore fait au Bon Dieu?,17,PRET,LONG_METRAGE,
Ulysse et Mona,26,CONSTRUCTION,LONG_METRAGE,
La Dernière Folie de Claire Darling,27,CONSTRUCTION,LONG_METRAGE,
La Position d'Andromaque,14,CONSTRUCTION,LONG_METRAGE,
Tout ce qu'il me reste de la révolution,25,CONSTRUCTION,LONG_METRAGE,
Une intime conviction,2,CONSTRUCTION,LONG_METRAGE,
All Inclusive,27,CONSTRUCTION,LONG_METRAGE,
Deux Fils,25,CONSTRUCTION,LONG_METRAGE,
"Moi, maman, ma mère et moi",29,INSTRUCTION,LONG_METRAGE,
"Black Snake, la légende du serpent noir",22,CONSTRUCTION,LONG_METRAGE,
Le Chant du Loup,14,INSTRUCTION,LONG_METRAGE,
Paradise Beach,25,CONSTRUCTION,LONG_METRAGE,
Celle que vous croyez,23,CONSTRUCTION,LONG_METRAGE,
Jusqu'ici tout va bien,13,CONSTRUCTION,LONG_METRAGE,
Sang froid (en anglais),24,CONSTRUCTION,LONG_METRAGE,
Exfiltrés,3,CONSTRUCTION,LONG_METRAGE,
Bêtes blondes,27,CONSTRUCTION,LONG_METRAGE,
Nos vies formidables,6,CONSTRUCTION,LONG_METRAGE,
Damien veut changer le monde,21,CONSTRUCTION,LONG_METRAGE,
Les Étendues imaginaires (en anglais),5,CONSTRUCTION,LONG_METRAGE,
Le Mystère Henri Pick,12,CONSTRUCTION,LONG_METRAGE,
On ment toujours à ceux qu'on aime,22,CONSTRUCTION,LONG_METRAGE,
Convoi exceptionnel,26,CONSTRUCTION,LONG_METRAGE,
Mon bébé,18,CONSTRUCTION,LONG_METRAGE,
Rebelles,21,PRET,LONG_METRAGE,
Meltem,28,CONSTRUCTION,LONG_METRAGE,
Pau,15,CONSTRUCTION,LONG_METRAGE,
Dernier Amour,15,CONSTRUCTION,LONG_METRAGE,
Le Corps sauvage,9,CONSTRUCTION,LONG_METRAGE,
Qui m'aime me suive !,13,PRET,LONG_METRAGE,
Walter,14,CONSTRUCTION,LONG_METRAGE,
C'est ça l'amour,18,AVIS_AJOURNE,LONG_METRAGE,
Let's Dance,16,CONSTRUCTION,LONG_METRAGE,
Synonymes (multilingue),21,INSTRUCTION,LONG_METRAGE,
Chamboultout,2,CONSTRUCTION,LONG_METRAGE,
Curiosa,13,CONSTRUCTION,LONG_METRAGE,
Des gens bien,7,CONSTRUCTION,LONG_METRAGE,
J'veux du soleil,9,CONSTRUCTION,LONG_METRAGE,
La Lutte des classes,26,CONSTRUCTION,LONG_METRAGE,
Mon inconnue,11,CONSTRUCTION,LONG_METRAGE,
"Terra Willy, planète inconnue",5,CONSTRUCTION,LONG_METRAGE,
Tel Aviv on Fire (multilingue),9,PRET,LONG_METRAGE,
"Tanguy, le retour",17,CONSTRUCTION,LONG_METRAGE,
Blanche comme neige,30,CONSTRUCTION,LONG_METRAGE,
Les Grands Squelettes,9,CONSTRUCTION,LONG_METRAGE,
Just a Gigolo,29,CONSTRUCTION,LONG_METRAGE,
Raoul Taburin,28,CONSTRUCTION,LONG_METRAGE,
L'Adieu à la nuit,14,CONSTRUCTION,LONG_METRAGE,
Mais vous êtes fous,22,CONSTRUCTION,LONG_METRAGE,
La Miséricorde de la jungle,8,CONSTRUCTION,LONG_METRAGE,
Un tramway à Jérusalem (multilingue),6,CONSTRUCTION,LONG_METRAGE,
Victor et Célia,21,CONSTRUCTION,LONG_METRAGE,
Nous finirons ensemble,10,CONSTRUCTION,LONG_METRAGE,
Les Crevettes pailletées,25,CONSTRUCTION,LONG_METRAGE,
Les Météorites,25,CONSTRUCTION,LONG_METRAGE,
Lourdes,7,CONSTRUCTION,LONG_METRAGE,
Les Misérables,17,CONSTRUCTION,LONG_METRAGE,
J'ai perdu mon corps,12,CONSTRUCTION,LONG_METRAGE,
Les Plus Belles Années d'une vie,25,CONSTRUCTION,LONG_METRAGE,
Une part d'ombre,17,CONSTRUCTION,LONG_METRAGE,
Le Jeune Ahmed,1,CONSTRUCTION,LONG_METRAGE,
Sibyl,12,CONSTRUCTION,LONG_METRAGE,
Ni une ni deux,6,CONSTRUCTION,LONG_METRAGE,
Venise n'est pas en Italie,5,CONSTRUCTION,LONG_METRAGE,
Tends-moi la main,5,CONSTRUCTION,LONG_METRAGE,
Les Particules (film),27,INSTRUCTION,LONG_METRAGE,
Salauds de pauvres,1,CONSTRUCTION,LONG_METRAGE,
Être vivant et le savoir,21,CONSTRUCTION,LONG_METRAGE,
Lune de miel,10,CONSTRUCTION,LONG_METRAGE,
Roxane,14,CONSTRUCTION,LONG_METRAGE,
